"event_id","route","R0","k","outcome","chain_size","hub_infections","generations","peak_infected","at_hub","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells","mortality_sub_pandemic","pandora_handoff"
273,"single_case",0,1.24703363175833,"single_case",1,0,0,1,FALSE,3.04166666666669,31.2916666666666,4,27.7109061028657,75.6900024414062,52,23,0.01,FALSE
274,"single_case",0,1.20436903945919,"single_case",1,0,0,1,FALSE,0.125000000000028,31.2083333333333,22,38.1387216979454,121.690002441406,37,7,0.01,FALSE
275,"nonspatial_sub",0.159373853826003,2.66278767989119,"extinct",1,0,1,1,TRUE,3.37500000000003,31.0416666666666,4,0,23.0499992370605,NA,NA,0.01,FALSE
276,"single_case",0,0.908269478132511,"single_case",1,0,0,1,FALSE,0.458333333333361,33.5416666666666,16,9.24970404407152,38.5099983215332,53,39,0.01,FALSE
277,"single_case",0,0.90055109930793,"single_case",1,0,0,1,FALSE,0.625000000000028,30.5416666666666,20,20.6826443397366,53.4500007629395,29,8,0.01,FALSE
278,"single_case",0,0.221335083146135,"single_case",1,0,0,1,FALSE,0.375000000000028,30.4583333333333,20,26.1626707219677,60.1199989318848,42,10,0.01,FALSE
279,"single_case",0,0.951182443161492,"single_case",1,0,0,1,FALSE,0.125000000000028,30.6249999999999,23,56.2654231221984,148.440002441406,57,14,0.01,FALSE
280,"single_case",0,0.935175658385851,"single_case",1,0,0,1,TRUE,0.625000000000028,34.2083333333333,16,0,12.2700004577637,NA,NA,0.01,FALSE
281,"single_case",0,1.6286962426992,"single_case",1,0,0,1,TRUE,3.29166666666669,30.9583333333333,4,0,19.9200000762939,NA,NA,0.01,FALSE
282,"single_case",0,1.13209066945554,"single_case",1,0,0,1,FALSE,3.20833333333336,31.4583333333333,1,20.6576978205174,63.439998626709,43,21,0.01,FALSE
283,"single_case",0,1.52491587753138,"single_case",1,0,0,1,FALSE,1.62500000000003,33.7916666666666,11,13.0788452722716,39.0299987792969,44,23,0.01,FALSE
284,"nonspatial_sub",0.29238458178335,0.405086220317321,"extinct",1,0,1,1,FALSE,0.958333333333361,34.3749999999999,16,9.24870613329942,51.7000007629395,42,28,0.01,FALSE
285,"single_case",0,0.518352036482401,"single_case",1,0,0,1,FALSE,1.37500000000003,31.9583333333333,13,33.3483947160465,124.949996948242,40,15,0.01,FALSE
286,"single_case",0,0.982979607676407,"single_case",1,0,0,1,FALSE,0.708333333333361,32.4583333333333,16,13.0809756326708,49.9099998474121,53,29,0.01,FALSE
287,"single_case",0,0.507775879370911,"single_case",1,0,0,1,TRUE,0.375000000000028,32.5416666666666,16,0,0.0599999986588955,NA,NA,0.01,FALSE
288,"single_case",0,1.13185613576116,"single_case",1,0,0,1,FALSE,0.291666666666695,30.8749999999999,22,49.8122180754346,153.190002441406,43,7,0.01,FALSE
289,"single_case",0,2.16309348865155,"single_case",1,0,0,1,FALSE,-0.124999999999972,31.1249999999999,26,53.9362106458487,145.779998779297,45,8,0.01,FALSE
290,"single_case",0,0.970311223230688,"single_case",1,0,0,1,FALSE,-0.458333333333305,31.7083333333333,26,9.24999999999997,30.1900005340576,28,8,0.01,FALSE
291,"nonspatial_sub",0.670739047108161,1.27396281799015,"extinct",3,0,3,1,FALSE,1.95833333333336,34.6249999999999,12,49.7876948471468,192.339996337891,43,5,0.03,FALSE
292,"nonspatial_sub",0.178081627808597,1.44446236997764,"extinct",1,0,1,1,FALSE,3.12500000000003,34.1249999999999,3,59.1945442039484,158.899993896484,44,6,0.01,FALSE
293,"single_case",0,0.792659533244264,"single_case",1,0,0,1,FALSE,-0.874999999999972,31.2083333333333,28,20.6816992950758,58.7599983215332,29,7,0.01,FALSE
294,"single_case",0,0.707611093451119,"single_case",1,0,0,1,TRUE,0.958333333333361,30.8749999999999,17,0,15.2700004577637,NA,NA,0.01,FALSE
295,"single_case",0,1.6266208105429,"single_case",1,0,0,1,FALSE,2.04166666666669,32.9583333333333,9,9.25000000000002,34.3400001525879,34,13,0.01,FALSE
296,"single_case",0,1.0163915597678,"single_case",1,0,0,1,FALSE,3.20833333333336,33.7916666666666,3,37,148.740005493164,45,6,0.01,FALSE
